data,dw7A,dw7B,nitrogenio,cloro
01/08,167.3,29.7,143.8,1.31
02/08,158.2,14.9,137.2,1.53
03/08,54,8.5,131.7,1.90
04/08,109.7,13,123.8,1.85
05/08,137.1,25.6,116.3,2.75
06/08,163.3,46.9,267,1.78
07/08,133,20.4,251.5,1.82
08/08,154.4,35.6,235.3,1.95
09/08,141.3,19.4,219.1,1.14
10/08,160.5,16.4,204.5,1.04
11/08,142.4,25.2,191.5,1.38
12/08,146.8,21.3,181.5,1.56
13/08,146.2,20.9,176.7,1.80
14/08,176,18.7,170.9,2.05
15/08,173.7,54.5,167.9,1.88
16/08,132,66.3,166.9,1.54
17/08,124.4,59.3,166.2,1.91
18/08,144.1,80.6,161.3,1.61
19/08,124.7,23.6,152,2.29
20/08,144.2,11.9,134.8,1.91
21/08,119,20.4,118.4,1.79
22/08,125.3,33.2,231.1,1.53
23/08,123.6,18.5,85.6,1.86
24/08,129.4,20.9,67.7,1.83
25/08,121,17.1,231.1,1.90
26/08,140.5,29.3,218.9,1.90
27/08,159,19.9,219.8,1,85
28/08,148.4,29.5,216.7,1,27
29/08,137.6,26.1,216.7,1,46
